,name,count
1007,Holden,34824
1008,Krause,34722
1009,Baird,34721
1010,Riggs,34506
1011,Braun,34491
1012,Werner,34488
1013,Quinones,34468
1014,Saldana,34434
1015,Mercer,34431
1016,Hatfield,34381
1017,Mcneil,34368
1018,Irwin,34297
1019,Hooper,34247
1020,Hays,34191
1021,Joyce,34132
1022,Mcknight,34055
1023,Gamble,34005
1024,Downs,33922
1025,Pierre,33913
1026,Haney,33898
1027,Forbes,33813
1028,Saenz,33787
1029,Davies,33753
1030,Vera,33674
1031,Levine,33637
1032,Mooney,33555
1033,John,33543
1034,Rosa,33521
1035,Riddle,33507
1036,Key,33501
1037,Cho,33490
1038,Kaiser,33480
1039,Holder,33465
1040,Bird,33457
1041,Bonner,33446
1042,Ferrell,33418
1043,Cotton,33374
1044,Dotson,33347
1045,Mcgowan,33340
1046,Barlow,33335
1047,Shea,33329
1048,Ewing,33314
1049,Bright,33281
1050,Becerra,33274
1051,Lindsay,33255
1052,Ritter,33252
1053,Cooley,33231
1054,Fritz,33224
1055,Cooke,33223
1056,Delaney,33218
1057,Amaya,33218
1058,Chaney,33201
1059,Kidd,33186
1060,Velasco,33078
1061,Ngo,33005
1062,Cheng,32982
1063,Newell,32909
1064,Frey,32904
1065,Carney,32897
1066,Barrios,32873
1067,Bolton,32815
1068,Holman,32788
1069,Tovar,32760
1070,Cardona,32727
1071,Dailey,32719
1072,Merrill,32620
1073,Cowan,32586
1074,Slater,32584
1075,Albert,32507
1076,Justice,32480
1077,Osborn,32439
1078,Carver,32415
1079,Lancaster,32362
1080,Goff,32298
1081,Zapata,32274
1082,Fulton,32258
1083,Kang,32221
1084,Sears,32206
1085,Lehman,32180
1086,Byers,32174
1087,Snider,32148
1088,Law,32122
1089,Tan,32120
1090,Lake,32104
1091,Lutz,32050
1092,Costello,32043
1093,Gay,32025
1094,Guthrie,31956
1095,Gallardo,31909
1096,Workman,31856
1097,Mcfadden,31839
1098,Blanco,31800
1099,Gorman,31788
1100,Katz,31780
1101,Kuhn,31776
1102,Noel,31768
1103,Valle,31716
1104,Marino,31687
1105,Hong,31670
1106,Springer,31643
1107,Pickett,31611
1108,Aguilera,31581
1109,Witt,31575
1110,Carrasco,31575
1111,Donahue,31563
1112,Kinney,31558
1113,Donnelly,31505
1114,Britt,31474
1115,Craft,31452
1116,Odell,31349
1117,Daly,31330
1118,Winter,31310
1119,Abraham,31303
1120,Baez,31298
1121,Rodrigues,31280
1122,Wooten,31249
1123,Hartley,31221
1124,Ng,31210
1125,Kendall,31209
1126,Cleveland,31123
1127,Crowley,31098
1128,Pearce,31060
1129,Dillard,31021
1130,Wilder,31018
1131,Lange,30984
1132,Shoemaker,30934
1133,Flanagan,30887
1134,Bruno,30883
1135,Segura,30880
1136,Beach,30867
1137,Castellanos,30859
1138,Tillman,30825
1139,Alford,30771
1140,Finch,30769
1141,Mcleod,30769
1142,Mackey,30749
1143,Dodd,30732
1144,Emerson,30702
1145,Minor,30702
1146,Muniz,30695
1147,Alston,30693
1148,Maloney,30671
1149,Childers,30570
1150,Mcdermott,30528
1151,Moser,30483
1152,Vogel,30470
1153,Mccabe,30401
1154,Dang,30389
1155,Alonso,30389
1156,Saucedo,30374
1157,Starr,30363
1158,Do,30301
1159,Hurtado,30286
1160,Kirkland,30283
1161,Hendrickson,30259
1162,Holley,30231
1163,Cordero,30158
1164,Franks,30155
1165,Guillen,30153
1166,Welsh,30153
1167,Ratliff,30083
1168,Sweet,30051
1169,Talley,30014
1170,Whitfield,29962
1171,Crowe,29953
1172,Goldstein,29938
1173,England,29926
1174,Pereira,29898
1175,Ly,29891
1176,Joyner,29884
1177,Richter,29880
1178,Farris,29877
1179,Tracy,29867
1180,Bacon,29860
1181,Han,29847
1182,Gibbons,29824
1183,Mayfield,29805
1184,Hoang,29798
1185,Elder,29796
1186,Lau,29792
