given_name,gender_code,ethnicity_code,count
Frady,f,w,215
Fraidy,f,w,754
Frances,f,w,398
Francesca,f,h,72
Francesca,f,w,931
Francesco,m,w,399
Francis,m,h,10
Francis,m,w,233
Francisco,m,h,765
Frank,m,a,60
Frank,m,h,340
Frank,m,w,645
Franklin,m,h,187
Freddy,m,h,150
Frederick,m,w,298
Freida,f,w,36
Freya,f,w,86
Frida,f,w,25
Frieda,f,w,59
Frimet,f,w,345
Gabriel,m,a,530
Gabriel,m,b,1122
Gabriel,m,h,3900
Gabriel,m,w,3010
Gabriela,f,h,1604
Gabriela,f,w,397
Gabriella,f,a,180
Gabriella,f,b,773
Gabriella,f,h,2122
Gabriella,f,w,2325
Gabrielle,f,b,1123
Gabrielle,f,h,84
Gabrielle,f,w,420
Gael,m,h,1500
Gaia,f,w,11
Galilea,f,h,14
Gary,m,a,75
Gavin,m,a,687
Gavin,m,b,360
Gavin,m,h,578
Gavin,m,w,1331
Gavriel,m,w,483
Gemma,f,w,539
Genesis,f,b,518
Genesis,f,h,2819
Genevieve,f,w,493
George,m,a,325
George,m,b,71
George,m,h,575
George,m,w,1940
Georgia,f,w,651
Georgina,f,w,23
Geraldine,f,h,144
Gerard,m,h,60
Gerardo,m,h,138
Gia,f,a,66
Gia,f,b,10
Gia,f,h,413
Gia,f,w,653
Giada,f,w,78
Giancarlo,m,w,60
Gianluca,m,w,89
Gianna,f,a,91
Gianna,f,b,351
Gianna,f,h,1344
Gianna,f,w,1445
Gianni,m,b,13
Gianni,m,h,11
Gideon,m,w,11
Giovani,m,h,115
Giovanna,f,w,148
Giovanni,m,b,453
Giovanni,m,h,1265
Giovanni,m,w,867
Giovanny,m,h,150
Giselle,f,a,11
Giselle,f,b,66
Giselle,f,h,858
Giselle,f,w,149
Gittel,f,w,433
Gitty,f,w,2180
Giulia,f,w,83
Giuliana,f,w,951
Giuseppe,m,w,84
Golda,f,w,402
Goldie,f,w,111
Goldy,f,w,799
Gordon,m,a,210
Grace,f,a,1455
Grace,f,b,646
Grace,f,h,1091
Grace,f,w,2263
Graham,m,w,637
Grant,m,w,428
Grayson,m,a,136
Grayson,m,b,71
Grayson,m,h,270
Grayson,m,w,734
Gregory,m,b,60
Gregory,m,h,316
Gregory,m,w,428
Greta,f,w,172
